490885	America/Nuuk
490886	America/Araguaina
490887	America/Halifax
490888	America/Port-au-Prince
490889	America/Merida
490890	America/Ciudad_Juarez
490891	Pacific/Pitcairn
490892	US/Alaska
490893	Pacific/Honolulu
490894	Pacific/Midway
490895	Etc/GMT+12
490896	Asia/Srednekolymsk
490897	Australia/Brisbane
490898	Asia/Dili
490899	Asia/Ujung_Pandang
490900	Asia/Novokuznetsk
490901	Asia/Omsk
490902	Asia/Qostanay
490903	Europe/Astrakhan
490904	Europe/Simferopol
490905	Europe/Kyiv
490906	Africa/Lagos
490907	Africa/Sao_Tome
490908	Atlantic/Cape_Verde
490909	Atlantic/South_Georgia
490910	Chile/Continental
490911	America/Grenada
490912	Pacific/Easter
490913	America/Tegucigalpa
490914	America/Edmonton
490915	Canada/Pacific
490916	America/Juneau
490917	Pacific/Rarotonga
490918	Pacific/Midway
490919	Etc/GMT+12
490920	Pacific/Noumea
490921	Pacific/Saipan
490922	Asia/Yakutsk
490923	Asia/Makassar
490924	Asia/Barnaul
490925	Asia/Dhaka
490926	Asia/Tashkent
490927	Indian/Mauritius
490928	Asia/Aden
490929	Europe/Mariehamn
490930	Europe/Vatican
490931	Africa/Freetown
490932	Atlantic/Cape_Verde
490933	America/Noronha
490934	America/Cayenne
490935	America/Manaus
490936	America/Indiana/Vevay
490937	America/Chicago
490938	America/Dawson_Creek
490939	America/Vancouver
490940	America/Anchorage
490941	America/Atka
490942	Pacific/Samoa
490943	Etc/GMT+12
490944	Australia/Currie
490945	Asia/Vladivostok
490946	Asia/Seoul
490947	Australia/West
490948	Asia/Novokuznetsk
490949	Asia/Dhaka
490950	Asia/Ashkhabad
490951	Indian/Reunion
490952	Antarctica/Syowa
490953	Asia/Famagusta
490954	Africa/Brazzaville
490955	Africa/Ouagadougou
490956	Atlantic/Azores
490957	America/Godthab
490958	Antarctica/Palmer
490959	America/La_Paz
490960	America/Coral_Harbour
490961	America/Costa_Rica
490962	America/Cambridge_Bay
490963	America/Ensenada
490964	America/Nome
490965	Pacific/Honolulu
490966	Pacific/Pago_Pago
490967	Etc/GMT+12
490968	Australia/Tasmania
490969	Asia/Vladivostok
490970	Asia/Yakutsk
490971	Asia/Macao
490972	Antarctica/Davis
490973	Asia/Thimphu
490974	Asia/Qostanay
490975	Asia/Muscat
490976	Africa/Kampala
